season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2016,Steve Blake,UFA,1.1,Will reportedly play in Australia,0,0.00,NA
2016,Steve Novak,UFA,0.1,Signed with Bucks,1,1551659.00,spotrac
2019,T.J. McConnell,UFA,2.9,Signed 2-yr $7M contract,2,3500000.00,capology
2019,Tahjere McCall,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2017,Taj Gibson,UFA,4,Signed 2-yr/$28M deal with Timberwolves,2,14000000.00,capology
2019,Taj Gibson,UFA,5.1,Signed 2-yr $20M contract,2,9000000.00,capology
2016,Tarik Black,RFA,0.7,Signed 2-yr/$12.85M deal with Lakers,2,6191000.00,capology
2017,Tarik Black,UFA,2.4,Signed deal with Rockets,1,3290000.00,capology
2018,Tarik Black,UFA,1.5,Will reportedly play in Israel,0,0.00,NA
2016,Tayshaun Prince,UFA,0.4,NA,0,0.00,NA
2016,Terrence Jones,RFA,1.5,Signed 1-yr deal with Pelicans,1,1050961.00,spotrac
2017,Terrence Jones,UFA,2.3,Will reportedly play in China,0,0.00,NA
2019,Terrence Ross,UFA,4.3,Signed 4-yr $54M contract,4,12500000.00,capology
2019,Terry Rozier,RFA,3.2,Signed 3-yr $56.7M contract with BOS as part of sign-and-trade,3,19894737.00,capology
2017,Thabo Sefolosha,UFA,3.3,Signed 2-yr/$10.5M deal with Jazz,2,5250000.00,capology
2019,Thabo Sefolosha,UFA,1.5,Signed 1-yr $2.56M contract,1,2564753.00,capology
2019,Thaddeus Young,UFA,6.9,Signed 3-yr $43.63M contract,3,12900000.00,capology
2019,Theo Pinson,UFA,0,Signed 2-yr $3.14M contract,2,1445697.00,capology
2019,Thomas Bryant,RFA,5.6,Signed 3-yr $25M contract,3,8000000.00,capology
2016,Thomas Robinson,UFA,0.6,Signed with Lakers,1,1050961.00,bball-insiders
2017,Thomas Robinson,UFA,0.9,Signed to play in Russia,0,0.00,NA
2019,Thomas Welsh,UFA,0.1,Signed training camp deal,0,0.00,NA
2017,Tiago Splitter,UFA,0.1,NA,0,0.00,NA
2016,Tim Frazier,RFA,1,Signed 2-yr/$4.1M deal with Pelicans,2,2090000.00,capology
2019,Tim Frazier,UFA,2,Signed 1-yr $1.88M contract,1,1882867.00,spotrac
2018,Tim Frazier,UFA,1.4,Signed training camp deal,0,0.00,NA
2017,Tim Hardaway Jr.,RFA,4.8,Signed 4-yr/$71M deal with Knicks,4,16500000.00,capology
2016,Timofey Mozgov,UFA,3.7,Signed 4-yr/$64M deal with Lakers,4,16000000.00,capology
2019,Timothé Luwawu-Cabarrot,UFA,0.2,Signed 1-yr $1.67M contract *estimated*,1,1670000.00,none
2019,Tobias Harris,UFA,7.1,Signed 5-yr $180M contract,5,32742000.00,capology
2019,Tomáš Satoranský,RFA,4.7,Signed 3-yr $30M contract with WAS as part of sign-and-trade,3,10000000.00,capology
2017,Tony Allen,UFA,3.1,Signed 1-yr deal with Pelicans,1,2328652.00,bball-insiders
2018,Tony Parker,UFA,1.4,Signed 2-yr $10MM contract,2,5000000.00,capology
2017,Tony Snell,RFA,3.4,Reportedly agreed to 4-yr/$46M deal with Bucks,4,9821429.00,capology
2018,Travis Wear,UFA,0.2,NA,0,0.00,NA
